tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
391128701026,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Gurgaon,HR,122001,2020-03-16 10:14:00,2020-03-20 08:07:00,93.88333333333334,4,5,82.4,23.470833333333335,True,RESIDENCE,1,True,11
390901883808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Bangalore,KA,560034,2020-03-06 10:37:00,2020-03-09 14:20:00,75.71666666666667,3,4,60.13333333333333,25.23888888888889,True,RECEPTIONIST_OR_FRONT_DESK,2,False,12
391128749178,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Ahmedabad,GJ,380028,2020-03-16 10:14:00,2020-03-19 09:59:00,71.75,5,6,56.43333333333333,14.35,True,RESIDENCE,1,True,12
390807986805,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,New Delhi,DL,110088,2020-03-03 10:49:00,2020-03-07 08:54:00,94.08333333333333,3,5,81.61666666666666,31.36111111111111,True,RESIDENCE,1,True,10
390948921190,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Delhi,DL,110009,2020-03-09 09:42:00,2020-03-13 09:14:00,95.53333333333333,4,5,83.0,23.883333333333333,True,RESIDENCE,1,True,11
390950106897,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Mumbai,MH,400053,2020-03-09 09:42:00,2020-03-12 10:30:00,72.8,5,4,59.9,14.559999999999999,True,,0,,12
391128762808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Mumbai,MH,400052,2020-03-16 10:14:00,2020-03-18 06:39:00,44.416666666666664,5,5,35.266666666666666,8.883333333333333,True,RESIDENCE,0,,10
390807994538,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,New Delhi,DL,110087,2020-03-03 10:49:00,2020-03-07 09:49:00,95.0,3,5,81.61666666666666,31.666666666666668,True,RESIDENCE,1,True,10
390950134073,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Delhi,DL,110009,2020-03-09 09:42:00,2020-03-13 09:14:00,95.53333333333333,4,4,83.0,23.883333333333333,True,RESIDENCE,1,True,10
390950572730,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,560048,Bangalore,KA,560038,2020-03-09 09:42:00,2020-03-10 10:00:00,24.3,3,3,10.8,8.1,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390839041400,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Delhi,DL,110027,2020-03-04 10:43:00,2020-03-09 09:15:00,118.53333333333333,4,5,85.8,29.633333333333333,True,RESIDENCE,1,True,13
390807999654,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Bokaro steel City,JH,827001,2020-03-03 10:49:00,2020-03-12 07:30:00,212.68333333333334,5,5,202.01666666666668,42.53666666666667,True,RECEPTIONIST_OR_FRONT_DESK,1,True,11
390767871261,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Gurugram,HR,122001,2020-03-02 10:53:00,2020-03-11 13:00:00,218.11666666666667,4,6,159.01666666666668,54.52916666666667,True,RECEPTIONIST_OR_FRONT_DESK,1,True,17
391018702750,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Lucknow,UP,226010,2020-03-11 11:09:00,2020-03-18 13:56:00,170.78333333333333,4,5,138.55,42.69583333333333,True,RESIDENCE,1,True,13
390931993491,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,ahmedabad,GJ,380015,2020-03-07 10:57:00,2020-03-11 09:01:00,94.06666666666666,5,7,81.91666666666667,18.813333333333333,True,RESIDENCE,1,True,13
391080326650,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Thane,MH,400604,2020-03-13 11:44:00,2020-03-20 10:30:00,166.76666666666668,5,10,155.71666666666667,33.35333333333334,True,,4,False,25
390870220230,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Hyderabad,TS,500072,2020-03-05 13:50:00,2020-03-14 12:45:00,214.91666666666666,5,7,212.35,42.983333333333334,True,IN_BOND_OR_CAGE,1,True,24
390901963670,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,HYDERABAD,TS,500033,2020-03-06 10:37:00,2020-03-10 12:30:00,97.88333333333334,4,4,71.83333333333333,24.470833333333335,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12
390950151411,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Delhi,DL,110009,2020-03-09 09:42:00,2020-03-13 09:14:00,95.53333333333333,4,4,83.0,23.883333333333333,True,RESIDENCE,1,True,10
390950569057,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,560048,Bengaluru,KA,560016,2020-03-09 09:42:00,2020-03-10 06:22:00,20.666666666666668,3,2,10.866666666666667,6.888888888888889,True,RESIDENCE,1,True,8
